Место,Ф.И.,,Дата рождения,Разряд,Команда,"ДСО, ведомство",Соб. вес,Толчок,Ком. очки,Вып. разряд,ФИО тренера(тренеров),,Вид,в/к,Год,Соревнования 
15,Береза Егор ,,2003,КМС,Калужская область,СШ «Маршал»,74.4,50,4,,Пянко И.А.,,ДЦ,85,2020,Чемпионат России
16,Кокшаров Сергей ,,1988,КМС,Красноярский край,,83.5,50,3,,Самостоятельно,,ДЦ,85,2020,Чемпионат России
17,Липовцев Артем ,,1992,КМС,Калужская область,СШ «Маршал»,78.95,47,2,,Трофимов М.А,,ДЦ,85,2020,Чемпионат России
18,Раковицкий Вячеслав ,,1986,1,Г.Санкт-Петербург,,84.8,45,1,,Смирнов А.,,ДЦ,85,2020,Чемпионат России
19,Алцыбеев Никита,,2003,1,Кировская область,"СШ""Юность""",78.5,41,1,,Малков Е.И.,,ДЦ,85,2020,Чемпионат России
20,Петухов Александр,,1991,МС,Новосибирская область,,84.4,41,1,,Бутенко А.А.,,ДЦ,85,2020,Чемпионат России
21,Шалимов Евгений,,1987,КМС,Орловская область,МБУ ДО ДЮСШ № 7,85,40,л,,,,ДЦ,85,2020,Чемпионат России
1,Балабанов Сергей ,,1996,МСМК,Ростовская область,,98.4,93,20,МСМК,"Пастухов И.В.
Добровольсий А.С.
",,ДЦ,999,2020,Чемпионат России
2,Меметов Энвер,,1989,МСМК,Р.Крым,,103.4,89,18,МСМК,Эмирасанов Э.К.,,ДЦ,999,2020,Чемпионат России
3,Нургалиев Родион ,,1979,МС,Свердловская область,ПФ,91.65,85,16,МС,Чагаев А. Е.,,ДЦ,999,2020,Чемпионат России
4,Шевелёв Дмитрий ,,1989,МС,Новосибирская область+Алтайский край,,116.75,83,15,МС,Рябченко А.В.,,ДЦ,999,2020,Чемпионат России
5,Турищев Дмитрий ,,1992,МСМК,Г. Москва,,97.75,76,14,МС,Савлова В.И.,,ДЦ,999,2020,Чемпионат России
6,Янголенко Даниил,,2000,МС,Томская область,,85.1,74,13,КМС,Полянский В.С.,,ДЦ,999,2020,Чемпионат России
7,Гуров Владимир ,,1978,ЗМС,Калужская область,СШ «Маршал»,91.85,74,12,КМС,Трофимов М.А,,ДЦ,999,2020,Чемпионат России
8,Топоров Александр ,,1980,МС,Курганская область,,92,61,11,КМС,Стрекаловских С.К.,,ДЦ,999,2020,Чемпионат России
9,Дударев Иван ,,1999,МС,Томская область,,106.95,56,10,,"Павлов В.Ю., Чепуштанов И.В.",,ДЦ,999,2020,Чемпионат России
10,Чирков Леонид ,,2003,КМС,Калужская область,,102.95,54,9,,Гуров В.А.,,ДЦ,999,2020,Чемпионат России
11,Кудинов Константин,,2000,КМС,Омская область,,85.35,50,8,,Козленко В.Н.,,ДЦ,999,2020,Чемпионат России
12,Кравцов Андрей,,1981,ЗМС,Липецкая область,,89.75,50,7,,Новиков И.В.,,ДЦ,999,2020,Чемпионат России
13,Кузьменков Алексей,,1999,КМС,Брянская область,ПФ,101.9,36,6,,"Гомонов В.Н.,Курохтин И.А.",,ДЦ,999,2020,Чемпионат России
