Место,Ф.И.,,Дата рождения,Разряд,Команда,"ДСО, ведомство",Соб. вес,Толчок,Место,Рывок,,Место,Сумма       дв-рья,Ком. Очки,Вып. разряд,ФИО тренера(тренеров),,Вид,в/к,Год,Соревнования 
11,Иванов Алексей,,1995,МСМК,Чувашская Республика,,82.55,81,14,204,102,2,183,8,МС,Глинкин Б.Н.,,Двоеборье,85,2019,Чемпионат России
12,Ветров Денис,,1989,МС,г.Москва,ВС РФ,84.7,109,12,144,72,11,181,7,МС,Самостоятельно,,Двоеборье,85,2019,Чемпионат России
13,Пашков Александр,,1995,МС,Белгородская область,,83.6,113,11,107,53.5,13,166.5,л,,Степанов В.И.,,Двоеборье,85,2019,Чемпионат России
14,Нигъматянов Анвар,,2001,КМС,Республика Татарстан,,79.65,81,13,80,40,14,121,5,КМС,Петров О.И.,,Двоеборье,85,2019,Чемпионат России
15,Пучков Родион ,,1989,МС,Калужская область/Волгоградская область,,82.95,56,15,51,25.5,15,81.5,4,,Трофимов М.А. ,,Двоеборье,85,2019,Чемпионат России
1,Турищев Дмитрий,,1992,МСМК,г.Москва,ВС РФ,96.95,166,1,183,91.5,1,257.5,20,МСМК,"Савлова В.И.,Бирюков А.С., Шиков А.И.",,Двоеборье,999,2019,Чемпионат России
2,Гуров Владимир ,,1978,ЗМС,Калужская область,"СШ ""Маршал""",92.35,152,2,171,85.5,4,237.5,18,МС,Трофимов М.А. ,,Двоеборье,999,2019,Чемпионат России
3,Майер Сергей,,2002,КМС,Тюменская область,,96.65,151,3,140,70,10,221,16,МС,Андреев И.Г.,,Двоеборье,999,2019,Чемпионат России
4,Овсянников Егор,,1998,МС,г.Москва,МАИ,97.35,126,5,181,90.5,2,216.5,15,МС,"Макаричев С.С., Тарасов А.И.",,Двоеборье,999,2019,Чемпионат России
5,Бородынкин Олег,,2002,КМС,Новосибирская область,,85.1,133,4,144,72,9,205,14,МС,Баер П.А.,,Двоеборье,999,2019,Чемпионат России
6,Павлов Александр,,1994,МСМК,Чувашская Республика,,93.45,115,7,170,85,5,200,13,МС,Глинкин Б.Н,,Двоеборье,999,2019,Чемпионат России
7,Сидорко Виталий,,1986,МС,Томская область,,95.15,106,8,177,88.5,3,194.5,12,МС,Полянский В.С.,,Двоеборье,999,2019,Чемпионат России
8,Башаров Нурислам,,1983,МС,Республика Татарстан,,94.7,117,6,150,75,7,192,11,МС,Федотов В.Н.,,Двоеборье,999,2019,Чемпионат России
9,Карасёв Павел,,1994,МС,Республика Татарстан,,94.85,101,9,160,80,6,181,10,КМС,Абдуллин Р.Р.,,Двоеборье,999,2019,Чемпионат России
10,Панов Александр,,1990,КМС,Калининградская область,,100.85,95,10,145,72.5,8,167.5,9,КМС,"Бабушкин М.Б.,Егоров В.В.",,Двоеборье,999,2019,Чемпионат России
11,Демышев Егор,,2001,МС,Кировская область,СШ «Юность»,105.35,64,11,80,40,11,104,8,,Малков Е.И.,,Двоеборье,999,2019,Чемпионат России
12,Глазунов Сергей,,1995,МС,Брянская область,,91.55,42,12,13,6.5,12,48.5,л,,"Гомонов В.Н.,Романьков В.М.",,Двоеборье,999,2019,Чемпионат России
13,Марков Иван ,,1996,МСМК,г.Санкт-Петербург,ВС РФ,снят врачом,,,,,,,,,"Семенов А.Н., Фадеев А.С.",,Двоеборье,999,2019,Чемпионат России
1,Бенидзе Джони ,,1990,ЗМС,Г.Санкт-Петербург,"СШОР им.Краевского,ВС РФ",62.6,140,1,160,80,2,220,20,МСМК,"Кириллов С.А., Огарев В.Я.",,Двоеборье,63,2020,Чемпионат России
2,Смагулов Нурсултан ,,1999,МС,Г.Санкт-Петербург,"СШОР им.Краевского,ВС РФ",62.55,113,2,184,92,1,205,18,МСМК,"Катаев И.В., Смагулов Ш.",,Двоеборье,63,2020,Чемпионат России
3,Бутенко Игорь,,1990,МС,Новосибирская область,,62.9,76,3,118,59,4,135,16,МС,Бутенко А.А.,,Двоеборье,63,2020,Чемпионат России
4,Мамонтов Никита,,2003,КМС,Архангельская область,,62.75,70,5,116,58,5,128,15,МС+,Мамонтов В.В.,,Двоеборье,63,2020,Чемпионат России
5,Едакин Николай,,1996,КМС,Кемеровская область,,62.85,73,4,92,46,7,119,14,КМС,,,Двоеборье,63,2020,Чемпионат России
6,Аитов Радик,,1992,КМС,ЯНАО,,62.25,54,8,124,62,3,116,13,КМС,Рябков А.И.,,Двоеборье,63,2020,Чемпионат России
7,Молчанов Дианисий,,2005,1,Астраханская область,,62.7,62,6,81,40.5,9,102.5,12,КМС,Бирюков С.Н.,,Двоеборье,63,2020,Чемпионат России
8,Ильясов Какен,,1993,КМС,Омская область,,63,43,10,107,53.5,6,96.5,11,КМС,Анасенко А.В.,,Двоеборье,63,2020,Чемпионат России
9,Латыпов Владимир,,2000,КМС,ЯНАО,,61.15,62,7,56,28,12,90,10,КМС,Латыпов Е.А.,,Двоеборье,63,2020,Чемпионат России
10,Ливада Валерий ,,2000,КМС,Ростовская область,,54.08,50,9,70,35,10,85,9,КМС,Ливада В.В.,,Двоеборье,63,2020,Чемпионат России
11,Новиков Андрей ,,2001,КМС,Томская область,,62.95,42,11,86,43,8,85,8,КМС,Чепуштанов И.В.,,Двоеборье,63,2020,Чемпионат России
12,Дунаев Ян ,,2000,1,Р.Саха-Якутия,,63,37,12,68,34,11,71,7,,Дьячковский В.Н.,,Двоеборье,63,2020,Чемпионат России
13,Терехов Артур ,,1992,МС,Курская область,,62.9,Снят врачом,,,,,,,,Мещеряков С.С.,,Двоеборье,63,2020,Чемпионат России
1,Хвостов Александр ,,1982,ЗМС,Г.Санкт-Петербург,"СШОР им.Краевского,ВС РФ",68,140,1,186,93,1,233,20,МСМК,Кириллов С.А.,,Двоеборье,68,2020,Чемпионат России
2,Рябков Алексей ,,1993,МСМК,ХМАО-Югра,,68,138,2,165,82.5,4,220.5,18,МСМК,"Войнов А.Б.,,Алтухов Д.В.,Мартьянов А.В",,Двоеборье,68,2020,Чемпионат России
3,Мащенко Олег ,,1983,МСМК,Краснодарский край,ВС,68,90,8,178,89,2,179,16,МС,Мащенко В.,,Двоеборье,68,2020,Чемпионат России
4,Мещеряков Сергей ,,1988,МС,Курская область,,67.5,91,7,174,87,3,178,15,МС,"Калюбаев В.Н.
Алфёрова В.Я.
",,Двоеборье,68,2020,Чемпионат России
5,Коломин Дмитрий,,1999,МС,Р. Бурятия,ВС,67.95,104,3,127,63.5,7,167.5,14,МС,"Рассадин А. А.Хлебодаров А. Г
Леонов С. Т
",,Двоеборье,68,2020,Чемпионат России
6,Петровичев Дмитрий,,1978,МС,Р.Татарстан,,65.6,102,4,123,61.5,9,163.5,13,МС,Шакиров Ж.В.,,Двоеборье,68,2020,Чемпионат России
7,Хамидов Фахриддин ,,2002,МС,Калужская область,СШ «Маршал»,66.65,95,5,112,56,10,151,12,МС,Барбакова Н.А.,,Двоеборье,68,2020,Чемпионат России
8,Бенидзе Спартак,,2002,КМС,Вологодская область,,67.2,77,11,136,68,5,145,11,КМС,Огарев В.Я.,,Двоеборье,68,2020,Чемпионат России
9,Лукьянов Даниэль ,,1999,МС,Томская область,,67.25,72,12,130,65,6,137,10,КМС,Карпов Ф.Н.Овчинников А.А.,,Двоеборье,68,2020,Чемпионат России
10,Ткачёв Алексей,,1983,МС,Брянская область,Динамо,67.4,81,10,110,55,11,136,9,КМС,"Гомонов В.Н., Афонин С.А.",,Двоеборье,68,2020,Чемпионат России
11,Саркисян Роман ,,1996,МС,Ростовская область,,66.55,81,9,109,54.5,12,135.5,8,КМС,Ливада Н.В.,,Двоеборье,68,2020,Чемпионат России
12,Белошапкин Максим,,2000,МС,Кемеровская область,,67.8,92,6,84,42,13,134,7,КМС,Поздняковский С.М.,,Двоеборье,68,2020,Чемпионат России
13,Егоров Валентин,,1985,МСМК,Ярославская область,,66.85,67,13,126,63,8,130,6,КМС,,,Двоеборье,68,2020,Чемпионат России
14,Горлов Николай ,,1987,МС,Ростовская область,,67.85,65,14,80,40,14,105,5,КМС,Веровский А.А.,,Двоеборье,68,2020,Чемпионат России
15,Антипов Александр,,1998,КМС,Р.Татарстан,,66.55,58,15,74,37,15,95,4,КМС,Абдуллин Р.Р.,,Двоеборье,68,2020,Чемпионат России
16,Ананин Дмитрий ,,1990,КМС,Г.Санкт-Петербург,,67.75,50,16,56,28,16,78,3,,Хвостов А.В.,,Двоеборье,68,2020,Чемпионат России
1,Сулейманов Мовсар ,,1989,МСМК,Калужская область+Липецкая область,СШ «Маршал»,72.95,155,1,160,80,8,235,20,МСМК,Трофимов М.А. Новиков И.В.,,Двоеборье,73,2020,Чемпионат России
2,Бобров Владимир,,1989,МСМК,Тюменская область,ВС,72.75,142,2,183,91.5,4,233.5,18,МСМК,"Лесников П.Я., Бакум К.Е.",,Двоеборье,73,2020,Чемпионат России
3,Рассадин Андрей ,,1989,МСМК,Р. Бурятия,ВС,72.3,128,4,192,96,3,224,16,МСМК,Леонов С. Т. Руднев С. Л,,Двоеборье,73,2020,Чемпионат России
4,Плотников Вячеслав ,,1998,МС,Челябинская область,Атлет,72.8,121,6,195,97.5,2,218.5,15,МС,"Потапов О.Ю, Симушин А.М.",,Двоеборье,73,2020,Чемпионат России
5,Баранов Егор,,1992,МСМК,Г. Москва,,72.85,129,3,178,89,6,218,14,МС,Шаповалов Е.Г.,,Двоеборье,73,2020,Чемпионат России
6,Баев Константин ,,1993,МСМК,Алтайский край,,73,116,7,200,100,1,216,13,МС,Щекотов И.Г.,,Двоеборье,73,2020,Чемпионат России
7,Смирнов Владимир ,,1999,МСМК,Калужская область,СШ «Маршал»,72.8,124,5,174,87,7,211,12,МС,Трофимов М.А,,Двоеборье,73,2020,Чемпионат России
8,Балдин Александр ,,1993,МС,Самарская область,ВС,71.8,101,8,179,89.5,5,190.5,11,МС,Ковалевский А.А.,,Двоеборье,73,2020,Чемпионат России
9,Сарсембаев Ильяс,,1999,МС,ЯНАО,,72.75,99,9,134,67,10,166,10,МС,Латыпов Е.А.,,Двоеборье,73,2020,Чемпионат России
10,Гаджимутелимов Гаджимирза ,,1995,МСМК,Калужская область,СШ «Маршал»,72.4,85,11,129,64.5,11,149.5,9,КМС,Трофимов М.А,,Двоеборье,73,2020,Чемпионат России
11,Вахонин Егор,,2005,КМС,Кировская область,"СШ""Юность""",72,92,10,80,40,15,132,8,КМС,Малков Е.И.,,Двоеборье,73,2020,Чемпионат России
12,Варлаков Николай ,,1980,МС,Курганская область,,72.8,65,15,125,62.5,13,127.5,7,КМС,Самостоятельно,,Двоеборье,73,2020,Чемпионат России
13,Лугинов Руслан ,,1997,МС,Р.Саха-Якутия,,73,63,16,128,64,12,127,6,КМС,Дьячковский В.Н.,,Двоеборье,73,2020,Чемпионат России
14,Медведев Максим,,2002,КМС,Кировская область,"СШ""Юность""",71.8,75,12,98,49,14,124,5,КМС,Малков Е.И.,,Двоеборье,73,2020,Чемпионат России
15,Суворов Александр,,1990,1,Тверская область,АК Радуга,71.9,48,19,146,73,9,121,4,КМС+,"Жмаев А.С., Мастин А.Ю.",,Двоеборье,73,2020,Чемпионат России
16,Волдаев Александр ,,2000,КМС,Красноярский край,,72.55,73,13,70,35,17,108,3,КМС,Жернаков Д.В.,,Двоеборье,73,2020,Чемпионат России
17,Ташланов Илья ,,1987,МСМК,Р. Бурятия+ Челябинская область,Атлет,73,70,14,60,30,19,100,2,КМС,Денисов И.Н.,,Двоеборье,73,2020,Чемпионат России
18,Перминов Максим,,1994,1,Кировская область,"СШ""Юность""",71.1,61,17,57,28.5,20,89.5,1,,Малков Е.И.,,Двоеборье,73,2020,Чемпионат России
19,Кадыков Павел ,,1990,КМС,Калужская область,,73,49,18,67,33.5,18,82.5,1,,Трофимов М.А,,Двоеборье,73,2020,Чемпионат России
20,Битюков Иван,,1988,КМС,Тюменская область,ТР,72.4,33,20,75,37.5,16,70.5,1,,"Толстов С.Б., Бакум К.Е",,Двоеборье,73,2020,Чемпионат России
1,Квашнин Михаил ,,1988,МСМК,Свердловская область,Динамо,80.1,147,2,209,104.5,1,251.5,20,МСМК,"Хвостов А.В.
Чагаев А. Е.
",,Двоеборье,85,2020,Чемпионат России
2,Черкашин Дмитрий ,,1999,МСМК,Томская область,,85,151,1,182,91,5,242,18,МСМК,Тимофеев Н.А.,,Двоеборье,85,2020,Чемпионат России
3,Анасенко Антон,,1978,ЗМС,ЯНАО,,85,128,4,207,103.5,2,231.5,16,МС,"Жилин А.В.,Козленко В.Н.",,Двоеборье,85,2020,Чемпионат России
4,Баранов Артем ,,1998,МС,ХМАО-Югра,,83.45,134,3,194,97,3,231,15,МС,Барков А.П.,,Двоеборье,85,2020,Чемпионат России
5,Дьячков Олег,,1995,МСМК,Белгородская область,СШОР№5,81.7,115,8,190,95,4,210,14,МС,"Меркулин С.В.,",,Двоеборье,85,2020,Чемпионат России
6,Юрастов Станислав,,1973,МС,Самарская область,ВС,84.15,122,5,176,88,6,210,13,МС,Щербин О.В.,,Двоеборье,85,2020,Чемпионат России
7,Черкашин Иван ,,1999,МСМК,Томская область,,84.3,122,6,170,85,7,207,12,МС,Тимофеев Н.А.,,Двоеборье,85,2020,Чемпионат России
8,Павлов Валерий ,,1987,МСМК,Томская область,,80.15,117,7,166,83,8,200,11,МС,Ажермачев А.Б.,,Двоеборье,85,2020,Чемпионат России
9,Ванин Виктор,,1991,МС,Рязанская область,ДДЮ «Алые Паруса»,76.8,105,12,165,82.5,9,187.5,10,МС,"Хвостов А.В.,Шматов И.Б.",,Двоеборье,85,2020,Чемпионат России
10,Бородынкин Олег,,2002,КМС,Новосибирская область,,84.85,106,11,154,77,13,183,9,МС+,"Баер П.А.
Баев А.Е.
",,Двоеборье,85,2020,Чемпионат России
11,Бурлака Сергей,,1998,МС,Краснодарский край,ДЮСШ,84.2,106,10,153,76.5,14,182.5,8,МС,Голиков В.В.,,Двоеборье,85,2020,Чемпионат России
12,Филиппов Максим,,1993,КМС,Краснодарский край,ВС,83.45,115,9,128,64,17,179,7,МС+,Кутепов Н.И.,,Двоеборье,85,2020,Чемпионат России
13,Малиновский Семен ,,1989,КМС,Ленинградская область,,82.95,97,14,161,80.5,11,177.5,6,КМС,Виноградов М.Е.,,Двоеборье,85,2020,Чемпионат России
14,Степанов Сергей ,,1993,МС,Челябинская область,Атлет,79.95,94,15,162,81,10,175,5,КМС,Денисов И.Н.,,Двоеборье,85,2020,Чемпионат России
15,Макаров Алексей,,1988,КМС,Ивановская область,,82.75,99,13,117,58.5,19,157.5,4,КМС,Марков И.Э.,,Двоеборье,85,2020,Чемпионат России
16,Гнездилов Роман ,,1990,КМС,Курская область,,74.6,76,20,157,78.5,12,154.5,3,КМС,Мещеряков С.С.,,Двоеборье,85,2020,Чемпионат России
17,Петухов Александр,,1991,МС,Новосибирская область,,80.8,76,22,149,74.5,15,150.5,2,КМС,Бутенко А.А.,,Двоеборье,85,2020,Чемпионат России
18,Иванов Константин ,,1998,КМС,Р.Саха-Якутия,,84.9,82,17,132,66,16,148,1,КМС,Дьячковский В.Н.,,Двоеборье,85,2020,Чемпионат России
19,Анищенко Денис,,2002,КМС,Брянская область,ПФ,84.9,92,16,102,51,21,143,1,КМС,Беляев И.Н.,,Двоеборье,85,2020,Чемпионат России
20,Ращупкин Артём,,1998,МС,Омская область,,78.9,76,21,120,60,18,136,1,КМС,Анасенко А.В.,,Двоеборье,85,2020,Чемпионат России
21,Береза Егор ,,2003,КМС,Калужская область,СШ «Маршал»,80.95,65,24,115,57.5,20,122.5,1,КМС,Пянко И.А.,,Двоеборье,85,2020,Чемпионат России
22,Оконешников Сандал ,,1995,КМС,Р.Саха-Якутия,,85,80,18,80,40,24,120,1,КМС,Дьячковский В.Н.,,Двоеборье,85,2020,Чемпионат России
23,Липовцев Артем ,,1992,КМС,Калужская область,СШ «Маршал»,84.75,78,19,82,41,22,119,1,КМС,Трофимов М.А,,Двоеборье,85,2020,Чемпионат России
24,Олехнович Олег ,,1991,1,Новгородская область,,83.7,73,23,81,40.5,23,113.5,1,,Трофимов С.Н.,,Двоеборье,85,2020,Чемпионат России
25,Лелеков Антон ,,2001,КМС,Красноярский край,,77.55,50,25,70,35,25,85,1,,Блынду А.С.,,Двоеборье,85,2020,Чемпионат России
26,Шалимов Евгений,,1987,КМС,Орловская область,МБУ ДО ДЮСШ № 7,85,50,26,70,35,26,85,1,,Головашкин А.В.,,Двоеборье,85,2020,Чемпионат России
1,Марков Иван ,,1995,МСМК,Г.Санкт-Петербург,"СШОР им.Краевского,ВС РФ",100.15,164,1,211,105.5,1,269.5,20,МСМК,Семенов А.Н.,,Двоеборье,999,2020,Чемпионат России
2,Гуров Владимир ,,1978,ЗМС,Калужская область,СШ «Маршал»,90.9,160,2,177,88.5,6,248.5,18,МСМК,Трофимов М.А,,Двоеборье,999,2020,Чемпионат России
3,Турищев Дмитрий ,,1992,МСМК,Г. Москва,,96.75,148,3,194,97,3,245,16,МС,Савлова В.И.,,Двоеборье,999,2020,Чемпионат России
4,Дёмышев Егор,,2001,МСМК,Кировская область,"СШ""Юность""",113.4,130,4,200,100,2,230,15,МС,Малков Е.И.,,Двоеборье,999,2020,Чемпионат России
5,Шевелёв Дмитрий ,,1989,МС,Новосибирская область+Алтайский край,,117.7,121,7,183,91.5,4,212.5,14,МС,Рябченко А.В.,,Двоеборье,999,2020,Чемпионат России
6,Донских Александр ,,1990,МСМК,Омская область,,96.5,111,11,180,90,5,201,13,МС,Анасенко А.В.,,Двоеборье,999,2020,Чемпионат России
7,Дунаев Дмитрий,,2000,МС,Кировская область,"СШ""Юность""",92.25,121,6,152,76,10,197,12,МС,Малков Е.И.,,Двоеборье,999,2020,Чемпионат России
8,Брюханов Даниил ,,1995,МСМК,Г.Санкт-Петербург,,74.55,116,8,157,78.5,9,194.5,11,МС,Семенов М.М.,,Двоеборье,999,2020,Чемпионат России
9,Панов Александр,,1990,КМС,Калининградская область,,109.4,123,5,136,68,15,191,10,МС+,"Бабушкин М.Б., Егоров В.В.",,Двоеборье,999,2020,Чемпионат России
10,Попок Константин ,,2000,КМС,Г.Санкт-Петербург-Омская область,ВС РФ,89.85,116,9,146,73,12,189,9,КМС,Катаев И.В.,,Двоеборье,999,2020,Чемпионат России
11,Башаров Нурислам,,1983,МС,Р.Татарстан,,103.15,116,10,138,69,14,185,8,КМС,"Фёдоров ,В.Н",,Двоеборье,999,2020,Чемпионат России
12,Стаханов Валентин,,1990,МС,Омская область,,94.45,100,14,166,83,8,183,7,КМС,Анасенко А.В.,,Двоеборье,999,2020,Чемпионат России
13,Сидорко Виталий ,,1986,МС,Томская область,,96.5,97,15,170,85,7,182,6,КМС,"Полянский В.С.
Ажермачев А.Б.
",,Двоеборье,999,2020,Чемпионат России
14,Карасев Павел ,,1994,МС,Ростовская область,,101.6,101,13,151,75.5,11,176.5,5,КМС,"Абдуллин Р.Р.
Балабанов С.А.
",,Двоеборье,999,2020,Чемпионат России
15,Климов Юрий ,,1972,КМС,Ростовская область,,106.6,92,16,123,61.5,21,153.5,4,КМС,Морозов И.В.,,Двоеборье,999,2020,Чемпионат России
16,Шабунин Никита ,,2001,КМС,Томская область,,98.9,84,18,132,66,17,150,3,КМС,"Елесов Е.Н.,Коршунов С.Д.",,Двоеборье,999,2020,Чемпионат России
17,Горбунов Андрей ,,1988,КМС,Г.Санкт-Петербург,,104.15,81,19,128,64,20,145,2,КМС,"Виноградов М.
Марков И.
",,Двоеборье,999,2020,Чемпионат России
18,Чирков Леонид ,,2003,КМС,Калужская область,,103.9,107,12,62,31,27,138,1,КМС,Гуров В.А.,,Двоеборье,999,2020,Чемпионат России
19,Енедеров Дмитрий,,1984,МС,Чувашская Республика,,87.45,70,20,128,64,19,134,1,КМС,Глинкин Б. Н.,,Двоеборье,999,2020,Чемпионат России
20,Булатов Павел,,1983,МС,Кемеровская область,,87.9,60,23,145,72.5,13,132.5,1,КМС,Опшин В.Г.,,Двоеборье,999,2020,Чемпионат России
21,Николаев Аркадий ,,2002,1,Красноярский край,,88.9,89,17,84,42,25,131,1,КМС+,Николаев Р.А.,,Двоеборье,999,2020,Чемпионат России
22,Воробьев Олег ,,1972,1,Новгородская область,,87.95,64,22,132,66,16,130,1,КМС+,Трофимов С.Н.,,Двоеборье,999,2020,Чемпионат России
23,Шендо Никита  ,,1998,КМС,Красноярский край,,89,70,21,118,59,22,129,1,КМС,Лазаренко В.Н.,,Двоеборье,999,2020,Чемпионат России
24,Чегорев Александр ,,1983,1,Новгородская область,,92.75,50,24,130,65,18,115,1,,Трофимов С.Н.,,Двоеборье,999,2020,Чемпионат России
25,Рехтик Александр ,,1986,1,Псковская область ,ВС,117.1,50,25,118,59,23,109,1,,Лапшин Н.С.,,Двоеборье,999,2020,Чемпионат России
26,Боян Станкович,,1988,1,Р.Удмуртия,,97.7,39,26,104,52,24,91,1,,Анасенко А.В.,,Двоеборье,999,2020,Чемпионат России
27,Кахаев Алексей ,,1995,1,Псковская область ,ВС,91.65,31,27,69,34.5,26,65.5,1,,"Лапшин Н.С.
Гугин А.В.
",,Двоеборье,999,2020,Чемпионат России
